DayType,Month,Hour,CreditType,Value_per_kWh
Weekday,January,12:00 AM,Produced,0.09342
Weekday,January,12:00 AM,Delivered,0.00089
Weekday,February,12:00 AM,Produced,0.0931
Weekday,February,12:00 AM,Delivered,0.00087
Weekday,March,12:00 AM,Produced,0.08045
Weekday,March,12:00 AM,Delivered,0.0008
Weekday,April,12:00 AM,Produced,0.07702
Weekday,April,12:00 AM,Delivered,0.00077
Weekday,May,12:00 AM,Produced,0.07745
Weekday,May,12:00 AM,Delivered,0.00076
Weekday,June,12:00 AM,Produced,0.07762
Weekday,June,12:00 AM,Delivered,0.00077
Weekday,July,12:00 AM,Produced,0.07278
Weekday,July,12:00 AM,Delivered,0.00072
Weekday,August,12:00 AM,Produced,0.09089
Weekday,August,12:00 AM,Delivered,0.00091
Weekday,September,12:00 AM,Produced,0.09539
Weekday,September,12:00 AM,Delivered,0.00094
Weekday,October,12:00 AM,Produced,0.08953
Weekday,October,12:00 AM,Delivered,0.00089
Weekday,November,12:00 AM,Produced,0.08621
Weekday,November,12:00 AM,Delivered,0.00082
Weekday,December,12:00 AM,Produced,0.08964
Weekday,December,12:00 AM,Delivered,0.00085
Weekday,January,1:00 AM,Produced,0.09158
Weekday,January,1:00 AM,Delivered,0.00087
Weekday,February,1:00 AM,Produced,0.0915
Weekday,February,1:00 AM,Delivered,0.00086
Weekday,March,1:00 AM,Produced,0.07742
Weekday,March,1:00 AM,Delivered,0.00077
Weekday,April,1:00 AM,Produced,0.07598
Weekday,April,1:00 AM,Delivered,0.00077
Weekday,May,1:00 AM,Produced,0.0736
Weekday,May,1:00 AM,Delivered,0.00072
Weekday,June,1:00 AM,Produced,0.07621
Weekday,June,1:00 AM,Delivered,0.00075
Weekday,July,1:00 AM,Produced,0.07445
Weekday,July,1:00 AM,Delivered,0.00073
Weekday,August,1:00 AM,Produced,0.09109
Weekday,August,1:00 AM,Delivered,0.0009
Weekday,September,1:00 AM,Produced,0.0935
Weekday,September,1:00 AM,Delivered,0.00092
Weekday,October,1:00 AM,Produced,0.08955
Weekday,October,1:00 AM,Delivered,0.00088
Weekday,November,1:00 AM,Produced,0.087
Weekday,November,1:00 AM,Delivered,0.00107
Weekday,December,1:00 AM,Produced,0.08918
Weekday,December,1:00 AM,Delivered,0.00084
Weekday,January,2:00 AM,Produced,0.09006
Weekday,January,2:00 AM,Delivered,0.00083
Weekday,February,2:00 AM,Produced,0.09257
Weekday,February,2:00 AM,Delivered,0.00087
Weekday,March,2:00 AM,Produced,0.07397
Weekday,March,2:00 AM,Delivered,0.00073
Weekday,April,2:00 AM,Produced,0.07973
Weekday,April,2:00 AM,Delivered,0.0008
Weekday,May,2:00 AM,Produced,0.07581
Weekday,May,2:00 AM,Delivered,0.00074
Weekday,June,2:00 AM,Produced,0.07484
Weekday,June,2:00 AM,Delivered,0.00074
Weekday,July,2:00 AM,Produced,0.07267
Weekday,July,2:00 AM,Delivered,0.00071
Weekday,August,2:00 AM,Produced,0.08944
Weekday,August,2:00 AM,Delivered,0.00088
Weekday,September,2:00 AM,Produced,0.09141
Weekday,September,2:00 AM,Delivered,0.00089
Weekday,October,2:00 AM,Produced,0.08751
Weekday,October,2:00 AM,Delivered,0.00086
Weekday,November,2:00 AM,Produced,0.0857
Weekday,November,2:00 AM,Delivered,0.00083
Weekday,December,2:00 AM,Produced,0.08687
Weekday,December,2:00 AM,Delivered,0.00082
Weekday,January,3:00 AM,Produced,0.08901
Weekday,January,3:00 AM,Delivered,0.00082
